startup_name,yfyi_batch,status,funding_usd,verticals,description,website,corporated,headquarter,founder_team,award,grant_amount_try,first_batch_year
SafeTech,2018,Out of Business,,Cybersecurity,SCADA Intrusion detection and blocking system,safe-tech.com.tr,FALSE,,Fatma Ertürk,EPDK & ELDER Ödülü,25000,2018
Davetcom,2018,Out of Business,,Wedding,Platform where couples can create and share their own wedding sites,davet.com,FALSE,,,Onedio Özel Ödülü,,2018
Pappirus,2018,Out of Business,,"Social media, Agency, SaaS",SaaS tool to managing social media marketing,pappirus.com,FALSE,,"Aytunc Uysal, O?uzhan Arnak, Murat Sözcü",,,2018
Robibot,2018,Out of Business,,"Robotics, Edtech, Baby toddler",Educational robot teaching algorithms and coding,robibot.com,FALSE,,Sezgin Gül,,,2018
Ankabeta - Parxlab.co,2018,Out of Business,,"Smart city, Mobility",Parking management system,parxlab.tech/,FALSE,,"Berk ?ahin, Halil Bak?rc?",Halk Oylamas? Ödülü,7500,2018
Microtherm - Microsolar,2018,Out of Business,,,,,FALSE,,Rahim Jafari,EPDK & ELDER Ödülü,25000,2018
The Gears Company,2018,Out of Business,,,,,FALSE,,,,,2018
Ultralab,2018,Out of Business,,Healthtech,Design and develop portable mobile ultrasound devices,ultralabltd.com,FALSE,,,,,2018
Blok-z,2018,Active,725000,"Energy, Climatetech, Blockchain",Helps energy companies build services for their customers through enterprise level software applications,blok-z.com,FALSE,ODTÜ TEKNOKENT,"Erhan Y?ld?r?m, Selim Sat?c?","Growth Circuit’tan Yat?r?m Alan Giri?imler, ASO Özel Ödülü",,2018
BPREG,2018,Active,300000,Autotech,Develops fiber-reinforced thermoplastic composite materials for automotive industry in order to lighten the vehicles,bpreg.com,FALSE,Ege Teknopark,Burcu Karaca U?ural,TEB Özel Ödülü,25000,2018
Sensgreen,2018,Active,185000,"Energy, Climatetech, Proptech, Internet of things, Sustainability",Energy and time saving solutions for commercial real estates,sensgreen.com,FALSE,ODTÜ TEKNOKENT,,"Growth Circuit’tan Yat?r?m Alan Giri?imler, TÜPRA? Ödülü",25000,2018
Triwi - Rokka,2018,Active,136831,"Biotech, Deeptech",Technological solutions for women's health and comfort,triwi.info,FALSE,Teknopark İzmir (İYTE),"Alara Akças?z, Zeynep Akças?z","Elginkan Vakf? Büyük Ödülü, Onedio Özel Ödülü",100000,2018
InfraDynamics,2018,Active,,"Biotech, Deeptech",Working on non-invasive treatment of various cancer types,https://users.metu.edu.tr/ggunbas/infradynamics.html,FALSE,-,Görkem Günba?,,,2018
